'sigla','nome curso','local','modalidade'
'C-EXP-SOBREMAR','Curso Expedito de Sobrevivência no Mar ','CAAML-PL','PRS'
'C-EXP-SOBREMAR-SP','Curso Expedito de Sobrevivência no Mar Semipresencial','CAAML-PL','SEMI'
'C-EXP-SOS','Curso Expedito de Socorro e Salvamento','CAAML-PL','PRS'
'C-EXP-SOS-SP','Curso Expedito de Socorro e Salvamento Semipresencial','CAAML-PL','SEMI'
'C-Exp-PratLid-PR','Curso Expedito de Prática de Liderança para Praças','CIAA','PRS'
'C-Exp-TE-PR ','Curso Expedito de Técnica de Ensino para Praça','CIAA','PRS'
'C-Exp-MAN-40MM-MK3-PR ','Curso Expedito de Manutenç?o de 1? Escal?o do Canh?o 40MM-MK3 para Praças','CIAA','PRS'
'C-Exp-MAN-ALBATROS-PR','Curso Expedito de Manutenç?o de 1? Escal?o do Sistema ALBATROS para Praças ','CIAA','PRS'
'C-Exp-ICS-3-PR ','Curso Expedito de Comunicaç?es Exteriores HF para Praças ','CIAA','PRS'
'C-Exp-ET/SRT-7-PR ','Curso Expedito de Transmissor de MF ET/SRT-7 para Praças ','CIAA','PRS'
'C-Exp-MAN-DICS-PR','Curso Expedito de Manutenç?o de 1? Escal?o do Sistema de Comunicaç?es DICS para Praças','CIAA','PRS'
'C-Exp-MAN-Micro-PR','Curso Expedito de Montagem e Manutenç?o de Microcomputadores para Praças ','CIAA','PRS'
'C-Exp-OpMicro-PR','Curso Expedito de Operaç?o de Microcomputadores para Praças','CIAA','PRS'
'C-Exp-OpRedes-PR','Curso Expedito de Operador de Redes para Praças','CIAA','PRS'
'C-Exp-Sup-LINUX-PR','Curso Expedito de Supervisor LINUX para Praça','CIAA','PRS'
'C-Exp-IMED-PR ','Curso Expedito de Instrumentos de Medidas para Praças','CIAA','PRS'
'C-Exp-MAN-EDO-997F-PR','Curso Expedito de Manutenç?o de 1? Escal?o do Sonar EDO-997 para Praças ','CIAA','PRS'
'C-Exp-OPE-MAN-RAN-20S','Curso Expedito de Manutenç?o de 1? Escal?o do RADAR RAN-20S para Praças','CIAA','PRS'
'C-Exp-OPE-MAN-SCMPA-PR','Curso Expedito de Operaç?o e Manutenç?o de 1? Escal?o do Sistema de Controle e Mo- nitoraç?o da Propuls?o e Auxiliares das Fragatas Classe Niterói para Praças ','CIAA','PRS'
'C-Esp-DefCiber-PR','Curso Especial de Defesa Cibernética para Praças','CIAA','PRS'
'C-Exp-IMGEXCEL-PR-EAD ','Curso Expedito de Implementaç?o da Gest?o por Excelência para Praças a distância ','CIAA','EAD'
'C-Esp-FeGGEXCEL-PR-EAD','Curso Especial de Ferramentas Gerenciais Aplicadas à Gest?o por Excelência para Praças a distância','CIAA','EAD'
'C-Esp-INDIC-PR-EAD','Curso Especial de Indicadores de Desempenho para Praças a distância','CIAA','EAD'
' C-Esp-IMP-3D','Curso Especial de Impressora 3D','CIAA','PRS'
'C-EXP-ALI','CURSO EXPEDITO DE APOIO LOGÍSTICO INTEGRADO','CIANB','PRS'
'C-EXP-Prat-SvA','CURSO EXPEDITO DE BOAS PRÁTICAS EM SERVIÇO DE ALIMENTAÇ?O','CIANB','PRS'
'C-EXP-Catalog-OF/PR','CURSO EXPEDITO DE CATALOGAÇ?O PARA OFICIAIS E PRAÇAS','CIANB','PRS'
'C-EXP-PROGEM','CURSO EXPEDITO DE QUALIFICAÇ?O PARA O PROGRAMA GERAL DE MANUTENÇ?O','CIANB','PRS'
'C-EXP-ContMat','CURSO EXPEDITO DE TÉCNICAS DE ABASTECIMENTO E CONTROLE DE MATERIAL','CIANB','PRS'
'EST-SE','ESTÁGIO DE REGISTRO DE SOLICITAÇ?ES AO EXTERIOR','CIANB','PRS'
'EST-SISB-ARM','SISTEMA DE INFORMAÇ?ES GERENCIAIS DO ABASTECIMENTO - SISBORDO ARMAMENTO','CIANB','PRS'
'EST-SISB-SOBR','ESTÁGIO DE SISTEMA DE INFORMAÇ?ES GERENCIAIS DO ABASTECIMENTO-SUBSISTEMA SISBORDO SOBRESSALENTE','CIANB','PRS'
'EST-SINGRA-CLG','ESTÁGIO DE SISTEMA DE INFORMAÇ?ES GERENCIAIS DO ABASTECIMENTO - SUBSISTEMA CLG','CIANB','PRS'
'EST-SINGRA-PDU','ESTÁGIO DE SISTEMA DE INFORMAÇ?ES GERENCIAIS DO ABASTECIMENTO - SUBSISTEMA PDU','CIANB','PRS'
'C-EXP-GestPat',' CURSO EXPEDITO DE GEST?O PATRIMONIAL','CIANB','PRS'
'EST-CCOMPS',' ESTÁGIO DE CONTABILIDADE DE CUSTOS DAS OMPS','CIANB','PRS'
'EST-GESMUNIC ',' ESTÁGIO SOBRE A GESTORIA DE MUNICIAMENTO','CIANB','PRS'
'EST-OP-SIPLAD ',' ESTÁGIO DE ORÇAMENTO PÚBLICO, PLANO DIRETOR, FUNDOS ESPECIAIS E SIPLAD','CIANB','PRS'
'EST-ENCEXERFIN/EXEC FIN ',' ESTÁGIO DE PROCEDIMENTOS PARA O ENCERRAMENTO DO EXERCÍCIO FINANCEIRO-GESTORIA DE EXECUÇ?O FINANCEIRA','CIANB','PRS'
'EST-ENCEXECFIN/MAT ',' ESTÁGIO DE PROCEDIMENTOS PARA O ENCERRAMENTO DO EXERCÍCIO FINANCEIRO','CIANB','PRS'
'EST-EExFin ',' ESTÁGIO DE PROCEDIMENTOS PARA O ENCERRAMENTO DO EXERCÍCIO FINANCEIRO DAS OMPS-C/I','CIANB','PRS'
'EST-SIAFI INT/CPR ',' ESTÁGIO DE SIAFI INTERMEDIÁRIO/NOVO CPR','CIANB','PRS'
'EST-SISMAT-WEB-T ',' ESTÁGIO SISMAT-WEB - OM TERRA','CIANB','PRS'
'EST-SAFIN ',' ESTÁGIO DE SISTEMA DE ACOMPANHAMENTO FINANCEIRO','CIANB','PRS'
'EST-CUSTOS ',' ESTÁGIO DE SISTEMA DE CUSTOS DA MARINHA','CIANB','PRS'
'EST-EdFiM-EAD ',' ESTÁGIO DE EDUCAÇ?O FINANCEIRA PARA MULTIPLICADORES A DISTÂNCIA','CIANB','EAD'
'ADE-ContPub ',' ADESTRAMENTO DE NOÇ?ES DE CONTABILIDADE PÚBLICA ','CIANB','PRS'
'ADE-SISCTL ',' ADESTRAMENTO DE SISPAG CONTROLADORIA','CIANB','PRS'
'ADE-TESCONGER ',' ADESTRAMENTO DE TESOURO GERENCIAL','CIANB','PRS'
'C-Exp-EGE- OF/PR ',' CURSO EXPEDITO DE EXCELÊNCIA EM GEST?O PARA OFICIAIS E PRAÇAS','CIANB','PRS'
'C-EXP-Pregoeiro ',' CURSO EXPEDITO DE FORMAÇ?O DE PREGOEIROS','CIANB','PRS'
'C-EXP- GestAdm ',' CURSO EXPEDITO DE GEST?O ADMINISTRATIVA DA OM','CIANB','PRS'
'C-EXP-GestProj ',' CURSO EXPEDITO DE GEST?O DE PROJETOS','CIANB','PRS'
'C-EXP-GestDocArq ',' CURSO EXPEDITO DE GEST?O DOCUMENTAL E ARQUIVÍSTICA','CIANB','PRS'
'C-EXP-GET',' CURSO EXPEDITO DE GEST?O ESTRATÉGICA','CIANB','PRS'
'EST-AQ-PUB-SUST',' ESTÁGIO DE AQUISIÇ?ES PÚBLICAS SUSTENTÁVEIS','CIANB','PRS'
'EST-BAS-LIC ',' ESTÁGIO BÁSICO DE LICITAÇ?ES','CIANB','PRS'
'EST-GC ',' ESTÁGIO DE CAPACITAÇ?O EM GEST?O DO CONHECIMENTO','CIANB','PRS'
'EST-CONGES ','  ESTÁGIO DE CONSELHO DE GEST?O','CIANB','PRS'
'EST-ElabEdit ',' ESTÁGIO DE ELABORAÇ?O DE EDITAL, PROJETO BÁSICO E TERMO DE REFERÊNCIA','CIANB','PRS'
'EST-FISC-CON ',' ESTÁGIO DE FISCALIZAÇ?O DE CONTRATOS ADMINISTRATIVOS','CIANB','PRS'
'EST-GestPI ',' ESTÁGIO DE GEST?O DE PATRIMÔNIO IMOBILIÁRIO','CIANB','PRS'
'EST-GPR ',' ESTÁGIO GEST?O DE PROCESSOS','CIANB','PRS'
'EST-GRC ',' ESTÁGIO DE GEST?O DE RISCOS','CIANB','PRS'
'EST-GestRisProj ',' ESTÁGIO DE GEST?O DE RISCO EM PROJETOS','CIANB','PRS'
'EST-GESTDOC-INC ',' ESTÁGIO GEST?O DOCUMENTAL PARA INICIANTE','CIANB','PRS'
'EST-ID ',' ESTÁGIO DE SISTEMA DE INDICADORES','CIANB','PRS'
'EST-MPR ',' ESTÁGIO DE MAPEAMENTO DE PROCESSOS','CIANB','PRS'
'EST-PEO ',' ESTÁGIO DE PLANEJAMENTO ESTRATÉGICO ORGANIZACIONAL','CIANB','PRS'
'EST-Preg?o ',' ESTÁGIO DE PREG?O PRESENCIAL E ELETRÔNICO','CIANB','PRS'
'EST-SiGDEM-UsuFin ',' ESTÁGIO SIGDEM USUÁRIOS FINAIS','CIANB','PRS'
'EST-SiGDEM-ADM ',' ESTÁGIO SIGDEM ADMINISTRADORES','CIANB','PRS'
'EST-LEGISMAR ',' ESTÁGIO DO SISTEMA DE GERENCIAMENTO DE LEGISLAÇ?O DA MARINHA','CIANB','PRS'
'EST-SIASG',' ESTÁGIO DO SISTEMA INTEGRADO DE ADMINISTRAÇ?O DE SERVIÇOS GERAIS','CIANB','PRS'
'EST-LISTA-P-10 ',' ESTÁGIO PARA VALIDADORES DA LISTA P-10','CIANB','PRS'
'EST-GI ',' ESTÁGIO BÁSICO DE GOVERNANÇA E INTEGRIDADE','CIANB','PRS'
'EST-ACI',' ESTÁGIO SOBRE ASSESSORIA DE CONTROLE INTERNO','CIANB','PRS'
'EST-CI-MAT ',' ESTÁGIO SOBRE CONTROLES INTERNOS APLICADOS À GEST?O PATRIMONIAL','CIANB','PRS'
'EST-CI-EXFINSF ',' ESTÁGIO SOBRE CONTROLES INTERNOS APLICADOS À GEST?O DA EXECUÇ?O FINANCEIRA E SUPRIMENTOS DE FUNDOS','CIANB','PRS'
'EST-CI-RH ',' ESTÁGIO SOBRE CONTROLES INTERNOS APLICADOS À GEST?O DE RECURSOS HUMANOS','CIANB','PRS'
'EST-CI-MUNIC ',' ESTÁGIO SOBRE CONTROLES INTERNOS APLICADOS À GEST?O DO MUNICIAMENTO','CIANB','PRS'
